p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AKAP9,1.22918721158305e-185,0.349342014630612,0.526,0.378,4.24635014113482e-181
R3HDM1,2.74922639790356e-185,0.357362882656927,0.29,0.152,9.49747751419765e-181
IKZF1,1.81145634644174e-184,0.333916927682864,0.345,0.177,6.25785709441765e-180
CDYL,1.70557312442073e-181,0.35849478907233,0.277,0.145,5.89207291562386e-177
GRB2,6.84873664116633e-181,0.359005744998663,0.368,0.212,2.36596456005732e-176
STAG1,1.02518743877491e-179,0.323613074444629,0.574,0.435,3.54161252599182e-175
BTD,4.27007559353099e-179,0.381022430552478,0.252,0.127,1.47514031454121e-174
TNRC6B,5.01939109314134e-179,0.315056249146847,0.601,0.459,1.73399884703661e-174
GIGYF2,1.10320829867183e-178,0.367771684328386,0.413,0.268,3.81114338859171e-174
TOX,1.95377050284217e-174,0.330726482216109,0.288,0.143,6.74949557911858e-170
MAPKAPK2,3.13789048410339e-171,0.351155202987674,0.263,0.137,1.08401564663836e-166
CARMIL1,1.89040849977259e-170,0.395651721986544,0.405,0.267,6.53060520331439e-166
USO1,3.73664431266469e-170,0.352480671913015,0.299,0.168,1.29086114425314e-165
MCTP2,8.37875686380046e-166,0.347763441856627,0.357,0.208,2.89452534616851e-161
SEC31A,1.33146628607522e-165,0.357366359555503,0.366,0.23,4.59968343187547e-161
ATP11B,4.57021990401209e-165,0.359463601774491,0.375,0.233,1.57882816804001e-160
CAMKMT,1.72583268417773e-164,0.358168734622532,0.412,0.27,5.96206159076039e-160
SMYD3,1.1172489239456e-163,0.289199442748476,0.644,0.514,3.85964813266248e-159
ZBTB38,2.90958638918736e-161,0.344394541525208,0.265,0.142,1.00514571400866e-156
GFPT1,4.4326296296263e-161,0.33957958723594,0.28,0.154,1.5312962318507e-156
RYBP,4.24465321551661e-160,0.330106399472391,0.257,0.134,1.46635789983237e-155
PTPN1,6.24626815336577e-160,0.363015594141186,0.394,0.251,2.15783579626174e-155
CANX,4.28735293722616e-155,0.319528468184342,0.257,0.137,1.48110894569415e-150
SIL1,2.4765910134669e-153,0.343172129873411,0.313,0.186,8.55563131512275e-149
GALK2,5.21874495188185e-150,0.32698873539423,0.258,0.141,1.8028676310771e-145
DOCK8,1.9782950707114e-148,0.322065613193305,0.472,0.291,6.8342181512796e-144
ANKRD36,3.37016879397738e-147,0.332984236992645,0.315,0.186,1.16425851156743e-142
NAP1L4,3.1454426659863e-146,0.323789305814818,0.309,0.179,1.08662462339163e-141
NBAS,6.6989640281988e-144,0.33283053711143,0.396,0.264,2.31422411318156e-139
SRRM2,3.5370896884632e-143,0.300859548894656,0.524,0.399,1.2219230037765e-138
ITCH,4.39795597549269e-143,0.330092253895673,0.403,0.272,1.51931787129371e-138
ANKRD44,3.68624840508571e-138,0.309590921336646,0.503,0.346,1.27345137402091e-133
PECAM1,3.53044001564105e-136,0.298004310641204,0.25,0.132,1.21962580780336e-131
RBM33,1.57373001194893e-134,0.33480333020768,0.382,0.257,5.43660769927877e-130
SNX29,2.01838880955557e-132,0.308485674683582,0.473,0.345,6.97272598149066e-128
PTK2B,4.82923575676691e-131,0.308663471437894,0.329,0.198,1.6683077845327e-126
GOLGB1,6.67153986244747e-131,0.324591154654118,0.352,0.23,2.3047501608811e-126
