fromNode,toNode,weight
ALG5,APOO,0.101595133856726
ALG5,AURKB,0.08707100055236
ALG5,B4GALT2,0.147321252828111
ALG5,B9D1,0.0633563097667527
ALG5,BHLHA15,0.158717151062198
ALG5,BIRC5,0.0761303963564852
ALG5,CALR,0.02556157411692
ALG5,CAV1,0.123166003451899
ALG5,CCL25,0.168531940173194
ALG5,CCNA2,0.0274773784937294
ALG5,CCNB2,0.0357543060521159
ALG5,CCNE1,0.0758308743197617
ALG5,CDC20,0.104475809330718
ALG5,CDC45,0.0604530075633259
ALG5,CDC6,0.0435779195088323
ALG5,CDCA3,0.0548993580531397
ALG5,CDCA5,0.0786478256512866
ALG5,CDCA8,0.0233865824521503
ALG5,CDK1,0.0450072029716106
ALG5,CENPA,0.0559898210802422
ALG5,CENPM,0.0877353864568616
ALG5,CENPN,0.0602984887290951
ALG5,CENPO,0.0578707538704159
ALG5,CENPS,0.0790473838745144
ALG5,CENPW,0.0850950545308063
ALG5,CHAC1,0.0367127000221051
ALG5,CHAC2,0.0488647860032999
ALG5,CHEK1,0.0347193355612148
ALG5,CKS1B,0.0650385286056264
ALG5,CKS2,0.0719305560051375
ALG5,CLPTM1L,0.0210909759090823
ALG5,CNKSR1,0.048045926187052
ALG5,CPNE5,0.11810803622018
ALG5,CRYBB1,0.0481562102385515
ALG5,DERL3,0.173559182984527
ALG5,DHCR24,0.0669079469710122
ALG5,DNAJB11,0.162467441282602
ALG5,DUSP5,0.117453646437066
ALG5,EAF2,0.117553407508692
ALG5,ELL2,0.0212696979094639
ALG5,ERLEC1,0.102908250992609
ALG5,FABP5,0.0739836295223673
ALG5,FBXO10,0.0917092212136967
ALG5,FBXO16,0.0316152600194982
ALG5,FEN1,0.125171988172593
ALG5,FKBP11,0.176342292654409
ALG5,FOXRED1,0.0813545406270787
ALG5,GGH,0.102761070783908
ALG5,GINS2,0.1129905602774
ALG5,GINS3,0.0882617409322992
ALG5,GLDC,0.0691814493164326
ALG5,GMNN,0.0495672810183459
ALG5,GMPPB,0.149086130347107
ALG5,GPRC5D,0.0996629873371971
ALG5,HASPIN,0.0325124586750301
ALG5,HERPUD1,0.042145328313358
ALG5,HID1,0.0739029814496692
ALG5,HMGB3,0.0610082482748142
ALG5,HSP90B1,0.153970666472969
ALG5,HSPA5,0.154882189568033
ALG5,IFI27L1,0.100924609367304
ALG5,IGF1,0.166748298411813
ALG5,IGLL1,0.0786165478504935
ALG5,IGLL5,0.133565529234346
ALG5,ISOC2,0.0245336276874545
ALG5,ITM2C,0.173796519080922
ALG5,JCHAIN,0.149379921784811
ALG5,KCNN3,0.0518599288346366
ALG5,KDELR2,0.102414925302921
ALG5,KIF2C,0.0465556925294315
ALG5,LAMP5,0.111317495001816
ALG5,LRRC59,0.133651355337429
ALG5,MAGED1,0.0819416522376217
ALG5,MANF,0.163779575541785
