,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
IRX1,0.246937981404969,1.02936955676692,1.36981542110796,0.751465884311863,0.452372324933719,NA,notsignificant
BTN1A1,26.4775343762754,1.0296546339117,0.149936512337981,6.86727080586408,6.54417712709009e-12,2.7916653232672e-10,upregulated
ZFHX4,6.61701235472919,1.02969629818109,0.314646132890713,3.27255348324506,0.00106580705882318,0.00383579741562072,upregulated
RNASE7,1.4693762970528,1.02971068652999,0.441920254085124,2.33008258166788,0.0198017868517257,0.0443703966772175,upregulated
KRTAP19-1,0.308948979865437,1.03007227541127,0.965703169932488,1.06665516639371,0.286127579391216,NA,notsignificant
MEP1B,4.64475124121189,1.0300967366788,0.246320878416076,4.18193026633659,2.8904463056666e-05,0.000183346773765364,upregulated
EIF2S3B,9.24620017708551,1.03025923009833,0.328338581725454,3.1377952133563,0.00170223760804368,0.00569267720973479,upregulated
STMND1,2.27141966002038,1.03032810324169,0.446969747872431,2.30514057863208,0.0211587015018025,0.0468337568468521,upregulated
KIAA1614,92.2808712523523,1.03033980119327,0.115577941881862,8.91467510510296,4.89248623499974e-19,6.72324711469201e-17,upregulated
HMGB3,118.784819429765,1.03039093514562,0.148675408584077,6.93047320305786,4.19435216452263e-12,1.8552021539493e-10,upregulated
HBE1,12.0190471401831,1.03056553656897,0.448824335218287,2.29614451735945,0.0216676196428997,0.0477329190770745,upregulated
NWD1,15.1859446669674,1.03101181533214,0.153784308975049,6.70427186104801,2.02413115954761e-11,7.65512796936474e-10,upregulated
STIL,268.160589661574,1.03173194987656,0.143078227479023,7.2109640163653,5.55571361348233e-13,2.84940046922817e-11,upregulated
CYP4F11,3.19395779699536,1.03178961649359,0.326097701071626,3.1640505685962,0.00155589759162049,0.00527580871055794,upregulated
GAL3ST3,1.48575302174505,1.03192427079389,0.430418931862739,2.39748810845284,0.0165079167967648,0.0380621209440308,upregulated
CADM1,53.9418399545006,1.03216221452097,0.162106487234282,6.36718636083483,1.92527198495484e-10,6.10189194949947e-09,upregulated
TCF19,177.7325432373,1.03226067637705,0.105151034621602,9.81693313900104,9.51956148763105e-23,1.98510774863634e-20,upregulated
H3C13,42.7004918990591,1.03229985788371,0.154039748196493,6.70151613443896,2.06268076045582e-11,7.7845658385169e-10,upregulated
MRGPRX1,0.958377300247196,1.03283708469243,0.669679273604767,1.54228617399617,0.123004067232094,0.198789767332091,notsignificant
ITLN2,4.48913526766827,1.03347437732833,0.264357090463014,3.90938777362934,9.25303299313405e-05,0.000491366076526251,upregulated
DGKH,626.615537267746,1.03360024929419,0.223452337913113,4.62559603961761,3.73522675537247e-06,3.25782713421586e-05,upregulated
PTPRU,11.7131896828473,1.03382864830813,0.23249794809076,4.44661407465219,8.72343520376644e-06,6.67400257280933e-05,upregulated
GCG,1.72718221204687,1.0341864377804,0.420306740116108,2.4605516378222,0.0138723607529812,0.0329415958679814,upregulated
KIAA1210,3.4187641860517,1.0343916164471,0.299722730837399,3.4511617238943,0.000558178989711755,0.00221864752914099,upregulated
NXNL2,4.40234658957133,1.03445019522427,0.233731261063744,4.4258101826702,9.60809848319993e-06,7.26743650817501e-05,upregulated
OSR1,2.01433384994504,1.03492932474591,0.505038860992538,2.04920730795249,0.0404418477784975,0.0806328656228278,notsignificant
SLC2A14,37.0475662419962,1.03527620145135,0.28686010333346,3.60899333654598,0.000307387504313546,0.00134082623034952,upregulated
FA2H,5.03982524485835,1.03537466066761,0.244350582368805,4.23725063648463,2.26273503282215e-05,0.000149646421972315,upregulated
HTR1D,1.36279898780665,1.03555844172049,0.418817294672164,2.47257803078807,0.0134142425795557,0.0320099675128793,upregulated
FGF2,15.1466991309065,1.03559761082283,0.207637785549879,4.98752001270048,6.11592861329227e-07,7.03943422947054e-06,upregulated
SKOR2,1.96209859367222,1.0356424118812,0.496180834850304,2.08722775879412,0.0368675513790302,0.0746054024196608,notsignificant
OTOS,0.449113675639805,1.03580725845087,0.945881000372815,1.095071428692,0.273485344663191,NA,notsignificant
CGB8,0.275370557057592,1.03614078426513,1.42814495907005,0.725515136040408,0.468136062598728,NA,notsignificant
LCE2B,0.338012263540607,1.03622357081405,1.25421746089432,0.826191313008166,0.408695575278478,NA,notsignificant
SCN9A,110.646958532728,1.03628006178517,0.175465282870945,5.90589799206808,3.50730955596726e-09,8.39766921459085e-08,upregulated
BIVM-ERCC5,65.0732718581,1.03632730310737,0.388211392250217,2.66949225034441,0.0075966026137537,0.0198914967640428,upregulated
PITX2,1.19280447234009,1.03642863221415,0.546646784147249,1.89597499202513,0.057963351452295,0.108366004034086,notsignificant
COLEC10,1.83261153423838,1.03644975672266,0.446389620744519,2.32185003538836,0.0202410119802341,0.0452136188569023,upregulated
KLF15,1.65835749723435,1.03649209607349,0.432496191353382,2.39653462110282,0.0165509298332471,0.0381302583642328,upregulated
MOXD1,18.4622613483559,1.03649664129281,0.176680559910098,5.86650077303481,4.45088193124094e-09,1.02069779014267e-07,upregulated
PRDM16,5.0885810193502,1.03719258571465,0.308095915162298,3.36646003621399,0.000761396137488443,0.00288743485718705,upregulated
OR51F2,1.22137748864095,1.03728788416739,0.564442483572531,1.83772113963158,0.0661035071997298,0.120628011820531,notsignificant
SLC34A2,3.27579195447144,1.0379319634696,0.318417508137643,3.25965732707426,0.00111546895454939,0.00398663333726386,upregulated
YAP1,4.85139615856479,1.03798142923855,0.278501735605247,3.72701960719486,0.000193757390745605,0.000908575292576813,upregulated
UNC93A,1.25088659654733,1.03821832421482,0.555079760130636,1.87039484914831,0.0614290067303815,0.11358309153249,notsignificant
KCTD16,4.81929386984374,1.03855851873228,0.312941917008766,3.31869418024683,0.000904394177205861,0.00333420110138438,upregulated
SAP30,596.962726123361,1.03857850632116,0.176686604033856,5.8780829027771,4.15045057782866e-09,9.64082726478342e-08,upregulated
TAAR5,0.349418291007912,1.03975620298274,1.01347857111216,1.02592815735783,0.304925449189949,NA,notsignificant
RCOR2,12.8408581351948,1.03987060124844,0.15799774375812,6.5815534862345,4.65557966447379e-11,1.66619771610054e-09,upregulated
DNAH10,57.6939741043049,1.03987466934855,0.201680495952576,5.15604974311979,2.52213921335724e-07,3.31654858428467e-06,upregulated
HS6ST2,1.30033682345077,1.03989832153476,0.468199948328513,2.22105603652291,0.0263471662207439,0.0563169895874888,notsignificant
SOWAHB,0.87375543396199,1.03998821465213,0.558137230029159,1.86331991255591,0.0624172702183847,0.114997001174021,notsignificant
CSMD2,16.4395241047272,1.04038111532591,0.261490638311459,3.97865530500073,6.93061336323911e-05,0.000383184587730438,upregulated
ACBD7,35.8761755501525,1.04075116685193,0.216253980114112,4.81263358160044,1.48954244397185e-06,1.47984233313362e-05,upregulated
PCK1,3.32042032340898,1.04165067754265,0.352193015166173,2.95761310612925,0.0031003098401667,0.00937855448541102,upregulated
COL1A1,7.3942955758349,1.04175588199902,0.283563168348972,3.67380533961648,0.000238964810238698,0.00108522818211832,upregulated
ELOVL3,23.5180092385112,1.04232781852755,0.181120230291629,5.7548945076387,8.66959164024518e-09,1.8344274727492e-07,upregulated
PRAMEF4,0.743685765443593,1.04248319612449,0.729449134861962,1.42913761399109,0.152964684356501,0.236386835589812,notsignificant
BPIFA2,1.77918300629246,1.04335195726296,0.418675097050807,2.49203252023454,0.012701440746483,0.0305847159334119,upregulated
KRT17,2.83760703778205,1.04343088939921,0.363411957018877,2.87120681982682,0.00408907893889356,0.0117816259695842,upregulated
FOLH1,3.13849823262394,1.04353230327814,0.359227351699233,2.90493554664469,0.00367328733902452,0.0108138215334619,upregulated
FATE1,0.862994299448576,1.04356987484063,0.838695658065462,1.24427718780342,0.213397563879348,0.307252894901705,notsignificant
CCDC166,0.290237099854305,1.04362978473689,1.11241621457219,0.938164844296379,0.348159702051355,NA,notsignificant
BCL2L14,12.2399420005111,1.04444172751528,0.226767094266617,4.60579049572024,4.10901922940769e-06,3.5173829846789e-05,upregulated
SSX7,1.21031514093908,1.04450735798743,0.643584321614471,1.62295339228777,0.104599368562813,0.17457795594917,notsignificant
DMRTA1,1.384596481335,1.04459631367981,0.467383472002096,2.23498770550262,0.0254181559006937,0.0546230921003088,notsignificant
TMEM200B,12.0365975651204,1.04474352642553,0.413970972317026,2.5237120384988,0.011612300646926,0.0283835215541021,upregulated
GUCA2B,0.292414563324839,1.04511291975525,1.42104259068636,0.735455029008292,0.462062418612039,NA,notsignificant
PRAMEF2,0.899478373231784,1.04533633169494,0.716429292266541,1.45909211554967,0.144539756017621,0.226182604992108,notsignificant
UGT2B10,1.01714423727847,1.04539502248055,0.552962019419478,1.89053675617368,0.0586862095432895,0.109510298770149,notsignificant
OR13C4,0.673718708084026,1.04562783918695,0.679457497808903,1.53891574168931,0.123824867612503,NA,notsignificant
OR11H6,1.13573471755694,1.04595957003941,0.577947544559145,1.80978287715931,0.0703294642795438,0.126778364545764,notsignificant
EDNRA,2.09052106615761,1.04605814433227,0.465940921985399,2.24504458607104,0.0247652704298388,0.0533857500033478,notsignificant
LAMA4,8.68042094920196,1.04669167448883,0.273285757325834,3.83002643361642,0.000128129494380825,0.000642324466121863,upregulated
DLL4,5.92808776678342,1.0468973511685,0.24370880055756,4.29568956382942,1.74151147280369e-05,0.000119611440141916,upregulated
FMN2,3.90893442798076,1.04760519392606,0.312884351575206,3.34821856271151,0.000813328414948773,0.00304778062570937,upregulated
CCDC158,5.1308404377096,1.04762282901031,0.285094675977954,3.67464887029782,0.000238176739258102,0.00108219527009701,upregulated
ADAMTSL1,8.87505693697648,1.04777481449883,0.300210282813495,3.49013632937337,0.000482774197980721,0.00196182869346477,upregulated
MMP7,1.20518824509047,1.04788464024311,0.551306289654211,1.90073042863407,0.057337330784551,0.107441098030966,notsignificant
IL22RA1,1.76857770872989,1.04840334056195,0.437763180516168,2.3949098216204,0.0166244534285661,0.0382604718257539,upregulated
RBFOX1,5.56704626572786,1.04909509024921,0.286432624709704,3.66262429537296,0.000249644552492985,0.00112405940907169,upregulated
MMP2,6.07430236787431,1.04915411136488,0.28596247856113,3.66885234959455,0.000243641733065584,0.00110257377542651,upregulated
CNGB3,11.6902476690696,1.04973896324471,0.21448504436983,4.89422918194091,9.86917762249683e-07,1.04203634183811e-05,upregulated
LHFPL3,1.20060013832007,1.04979785494251,0.444018517237192,2.36431097845793,0.0180636426320595,0.0410168636052391,upregulated
SERTAD4,2.61347328631551,1.05009873275918,0.412869794907331,2.54341379706616,0.0109775140115925,0.0270597298694631,upregulated
TMEM74,2.52148661237537,1.05010111606776,0.34783997004107,3.01892021191174,0.00253677330810783,0.0079338070000968,upregulated
ALX1,1.50428746818324,1.05028573886902,0.510965431678063,2.05549274717033,0.0398314354854102,0.079627484909312,notsignificant
VIP,1.7645617601283,1.05046298207748,0.363447404246679,2.89027509841428,0.00384904834086291,0.0112375232293568,upregulated
TRIM29,3.64452253483206,1.05055313858319,0.349310989049391,3.00750097053102,0.00263405283580352,0.00820668382660697,upregulated
PTTG1,154.258981306204,1.05202948616721,0.141427449152599,7.43865135425078,1.01718387374683e-13,5.75828430666367e-12,upregulated
SNAI2,1.49723839002222,1.05275361799759,0.594026782837491,1.77223258010168,0.0763559574940595,0.135518086050287,notsignificant
NOBOX,1.17207349793765,1.05284472525816,0.535903443037799,1.96461646017806,0.0494586454026611,0.095296428827861,notsignificant
C2orf83,3.56260903250608,1.0528451909873,0.286185605403888,3.67888940291544,0.000234251817005738,0.00106705496197806,upregulated
KIF18A,47.5170193829074,1.05357173522949,0.146540360087397,7.18963522814562,6.49646489451896e-13,3.28509441098681e-11,upregulated
FOXI2,0.491460607758593,1.05358230812862,0.596054759020222,1.76759314842224,0.0771289442702083,NA,notsignificant
GALNTL6,7.8766915484341,1.05489270407004,0.277025023570763,3.80793290971628,0.000140133277470263,0.000691903253159537,upregulated
ABCA12,9.44584736843002,1.05542839121427,0.262972576553327,4.01345419757199,5.98366175945971e-05,0.000337885442264096,upregulated
ARHGEF35,18.7121829160179,1.05602709381093,0.194327583499874,5.434262469546,5.50235389168623e-08,8.9722259744688e-07,upregulated
OR2A25,1.93718675199159,1.05603812806099,0.362245853888145,2.91525249143934,0.00355400883620788,0.0105186797072483,upregulated
ITGA9,68.684636495926,1.05609640819903,0.191346163584119,5.519297530806,3.40357495568294e-08,5.98351136251995e-07,upregulated
GRM8,4.65422020178281,1.05645274868877,0.361961148004917,2.91869101010371,0.00351504451892442,0.0104195342383793,upregulated
DYDC1,1.20272679907712,1.05731633340281,0.411925326452897,2.56676699757064,0.0102651563493345,0.0255769335087502,upregulated
ARNTL2,60.3528831934012,1.05732448589067,0.11171433935702,9.46453688914222,2.94864754631701e-21,5.10399549315373e-19,upregulated
SLC9C2,4.21222255552833,1.05734198138728,0.338821569170573,3.12064542991057,0.0018045516885187,0.00597930047795206,upregulated
CAMKV,1.04175165330101,1.05766432894318,0.441440353541145,2.39593938446908,0.0165778315972522,0.0381726943481369,upregulated
COL4A5,5.18788128051931,1.05824193694118,0.337903340344708,3.13178891887139,0.00173744741131004,0.00578891880407243,upregulated
FAT4,27.0993869202485,1.05843877201836,0.18510704311619,5.71798216966809,1.07796450801296e-08,2.22285418937563e-07,upregulated
TENM2,7.97225820963589,1.06009978778158,0.280945498943857,3.77332896154861,0.000161083665118329,0.000778895551829214,upregulated
OXCT2,6.77977792272064,1.06032139048706,0.259199932709038,4.09074716727382,4.2998568674319e-05,0.000256736395779466,upregulated
ADH7,2.2683219152669,1.06034785967285,0.482598105432409,2.19716540064486,0.028008635658725,0.0592443520683107,notsignificant
GCOM1,25.7304557836103,1.06042281492364,0.449175301476243,2.3608217358312,0.0182344934993506,0.0413422357651523,upregulated
CCDC185,0.786101082015318,1.06053626073048,0.769624402317781,1.37799198873709,0.168205761609029,0.254628331692376,notsignificant
